Year;Month;City;URL event;Level 2 site;Visitors;Visits;Bounces;Page views;Time spent;Bounce rate
2022;"August";"'s-gravendeel";"https://omroepzwart.nl/";"omroepzwart";4;4;2;6;89699;0.5
2022;"August";"'s-gravenpolder";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"'s-gravenzande";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;89860;0
2022;"August";"'s-heerenberg";"https://omroepzwart.nl/";"omroepzwart";2;3;2;10;142805;0.666667
2022;"August";"'t harde";"https://omroepzwart.nl/";"omroepzwart";3;3;1;9;54709;0.333333
2022;"August";"'t loo oldebroek";"https://omroepzwart.nl/";"omroepzwart";3;10;8;14;29357;0.8
2022;"August";"'t zand";"https://omroepzwart.nl/";"omroepzwart";3;3;2;7;84173;0.666667
2022;"August";"Aachen";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Aadorp";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Aalden";"https://omroepzwart.nl/";"omroepzwart";1;2;2;2;0;1
2022;"August";"Aalsmeer";"https://omroepzwart.nl/";"omroepzwart";5;5;1;37;404117;0.2
2022;"August";"Aalten";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Aarlanderveen";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;40853;0
2022;"August";"Abbekerk";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Abbenbroek";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Abcoude";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;20041;0.5
2022;"August";"Abidjan";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Abingdon";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Accra";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Aerdenhout";"https://omroepzwart.nl/";"omroepzwart";2;2;1;3;86572;0.5
2022;"August";"Aerdt";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Agonac";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;8390;0
2022;"August";"Aix-en-provence";"https://omroepzwart.nl/";"omroepzwart";2;2;1;8;28684;0.5
2022;"August";"Akersloot";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Akkrum";"https://omroepzwart.nl/";"omroepzwart";3;10;6;17;188855;0.6
2022;"August";"Al garhoud";"https://omroepzwart.nl/";"omroepzwart";1;1;0;5;118500;0
2022;"August";"Al jihad";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Al markaziyah";"https://omroepzwart.nl/";"omroepzwart";2;2;1;3;97264;0.5
2022;"August";"Alblasserdam";"https://omroepzwart.nl/";"omroepzwart";6;6;1;19;1740598;0.166667
2022;"August";"Albuquerque";"https://omroepzwart.nl/";"omroepzwart";4;4;4;4;0;1
2022;"August";"Alhaurin el grande";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Alicante";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Alice";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Alice castello";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Alkmaar";"https://omroepzwart.nl/";"omroepzwart";19;20;8;58;863058;0.4
2022;"August";"Allen";"https://omroepzwart.nl/";"omroepzwart";18;17;17;18;0;1
2022;"August";"Almargem do bispo";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;22532;0
2022;"August";"Almelo";"https://omroepzwart.nl/";"omroepzwart";8;7;5;12;132309;0.714286
2022;"August";"Almere";"https://omroepzwart.nl/";"omroepzwart";150;162;91;374;13965879;0.561728
2022;"August";"Almkerk";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Alphen";"https://omroepzwart.nl/";"omroepzwart";2;2;1;3;11453;0.5
2022;"August";"Alphen aan den rijn";"https://omroepzwart.nl/";"omroepzwart";26;28;16;91;1483579;0.571429
2022;"August";"Alteveer";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Amden";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Amen";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;35841;0
2022;"August";"Amerongen";"https://omroepzwart.nl/";"omroepzwart";1;1;0;8;87618;0
2022;"August";"Amersfoort";"https://omroepzwart.nl/";"omroepzwart";58;65;39;132;2427081;0.6
2022;"August";"Ammerzoden";"https://omroepzwart.nl/";"omroepzwart";1;1;0;23;1184006;0
2022;"August";"Ammochostos";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Amstelhoek";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;20261;0
2022;"August";"Amstelveen";"https://omroepzwart.nl/";"omroepzwart";53;58;37;110;1459561;0.637931
2022;"August";"Amsterdam";"https://omroepzwart.nl/";"omroepzwart";1072;1303;656;3343;114160060;0.503454
2022;"August";"Amsterdam zuidoost";"https://omroepzwart.nl/";"omroepzwart";1;1;0;9;179770;0
2022;"August";"Amsterdam-duivendrecht";"https://omroepzwart.nl/";"omroepzwart";6;6;4;16;1288882;0.666667
2022;"August";"Andijk";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;1290580;0
2022;"August";"Anerveen";"https://omroepzwart.nl/";"omroepzwart";1;1;0;7;81579;0
2022;"August";"Anfo";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Angered";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Angeren";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Ankeveen";"https://omroepzwart.nl/";"omroepzwart";1;1;0;6;65547;0
2022;"August";"Annen";"https://omroepzwart.nl/";"omroepzwart";2;3;2;9;2231287;0.666667
2022;"August";"Antwerp";"https://omroepzwart.nl/";"omroepzwart";3;4;2;8;106587;0.5
2022;"August";"Anvers";"https://omroepzwart.nl/";"omroepzwart";3;3;2;8;302118;0.666667
