'event_hour','site_level2','event_url','m_unique_visitors','m_visits','m_bounces','m_bounce_rate','m_page_loads','m_time_spent_per_visitor'
0,'omroepzwart','https://omroepzwart.nl/',1297,1302,721,0.553763,3175,144300.633681
1,'omroepzwart','https://omroepzwart.nl/',652,651,360,0.552995,1564,145783.395105
2,'omroepzwart','https://omroepzwart.nl/',554,565,328,0.580531,1472,184216.408696
3,'omroepzwart','https://omroepzwart.nl/',435,446,257,0.576233,1045,188057.360465
4,'omroepzwart','https://omroepzwart.nl/',401,403,241,0.598015,895,161684.390244
5,'omroepzwart','https://omroepzwart.nl/',366,375,217,0.578667,916,191157.212903
6,'omroepzwart','https://omroepzwart.nl/',523,530,329,0.620755,1190,158945.473684
7,'omroepzwart','https://omroepzwart.nl/',869,901,574,0.637070,1961,158460.550000
8,'omroepzwart','https://omroepzwart.nl/',1586,1648,964,0.584951,3539,193044.288580
9,'omroepzwart','https://omroepzwart.nl/',2276,2341,1330,0.568133,5593,273003.426724
10,'omroepzwart','https://omroepzwart.nl/',2703,2887,1576,0.545895,6813,254293.581650
11,'omroepzwart','https://omroepzwart.nl/',3040,3223,1707,0.529631,7982,238881.290922
12,'omroepzwart','https://omroepzwart.nl/',3099,3180,1733,0.544969,7451,180617.448000
13,'omroepzwart','https://omroepzwart.nl/',3135,3282,1799,0.548141,7775,206505.375457
14,'omroepzwart','https://omroepzwart.nl/',2928,3084,1690,0.547990,7220,195251.373576
15,'omroepzwart','https://omroepzwart.nl/',2967,3086,1687,0.546662,7294,212414.982826
16,'omroepzwart','https://omroepzwart.nl/',2805,2951,1626,0.551000,6973,211083.389251
17,'omroepzwart','https://omroepzwart.nl/',2642,2667,1586,0.594676,5988,186179.409650
18,'omroepzwart','https://omroepzwart.nl/',2407,2503,1499,0.598881,5180,130198.797311
19,'omroepzwart','https://omroepzwart.nl/',2496,2587,1527,0.590259,5374,168211.235234
20,'omroepzwart','https://omroepzwart.nl/',3021,3076,1767,0.574447,6678,163743.274980
21,'omroepzwart','https://omroepzwart.nl/',3143,3218,1912,0.594158,6919,143946.837692
22,'omroepzwart','https://omroepzwart.nl/',3179,3265,1846,0.565391,7319,150496.845987
23,'omroepzwart','https://omroepzwart.nl/',2982,2973,1748,0.587958,6484,137173.906329
0,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
1,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
2,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
3,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
4,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
5,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
6,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
7,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
8,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
9,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
10,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
11,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
12,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
13,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
14,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
15,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
16,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
17,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
18,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
19,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
20,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
21,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
22,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
23,,'https://omroepzwart.nl/',0,0,0,0.000000,0,0.000000
